k,comp1,comp2,Hop,comp,Features,bacc.protos,se.protos,bacc.svm,se.svm,n,corr,correlation,diff,by
16,Jan,Mar,2,Jan-Mar,SBERT,0.5971,0.0062,0.6222,0.0076,30,0.8494,very strong (.8 1],0.0252,Month
16,Jan,Apr,3,Jan-Apr,BoW,0.6211,0.0088,0.6691,0.0102,30,0.8465,very strong (.8 1],0.0479,Month
16,Jan,Apr,3,Jan-Apr,SBERT,0.6014,0.0076,0.634,0.0093,30,0.8598,very strong (.8 1],0.0326,Month
16,Jan,May,4,Jan-May,BoW,0.6224,0.0068,0.6763,0.0077,30,0.8223,very strong (.8 1],0.0539,Month
16,Jan,May,4,Jan-May,SBERT,0.6066,0.0075,0.6356,0.0079,30,0.8034,very strong (.8 1],0.029,Month
16,Jan,Jun,5,Jan-Jun,BoW,0.6364,0.0063,0.6833,0.0072,30,0.7188,strong (.6 .8],0.0469,Month
16,Jan,Jun,5,Jan-Jun,SBERT,0.6181,0.0063,0.6487,0.0075,30,0.853,very strong (.8 1],0.0306,Month
16,Jan,Jul,6,Jan-Jul,BoW,0.6295,0.0078,0.6864,0.0082,30,0.8326,very strong (.8 1],0.0569,Month
16,Jan,Jul,6,Jan-Jul,SBERT,0.6139,0.0067,0.6432,0.0074,30,0.8425,very strong (.8 1],0.0292,Month
16,Jan,Aug,7,Jan-Aug,BoW,0.643,0.0096,0.694,0.0097,30,0.8605,very strong (.8 1],0.051,Month
16,Jan,Aug,7,Jan-Aug,SBERT,0.6254,0.0083,0.6607,0.0083,30,0.8853,very strong (.8 1],0.0353,Month
16,Jan,Sep,8,Jan-Sep,BoW,0.6569,0.0089,0.6998,0.0092,30,0.8521,very strong (.8 1],0.0429,Month
16,Jan,Sep,8,Jan-Sep,SBERT,0.634,0.0092,0.6602,0.01,30,0.9168,very strong (.8 1],0.0263,Month
16,Feb,Mar,1,Feb-Mar,BoW,0.6019,0.0096,0.6464,0.0107,30,0.863,very strong (.8 1],0.0445,Month
16,Feb,Mar,1,Feb-Mar,SBERT,0.5888,0.0091,0.616,0.0099,30,0.9273,very strong (.8 1],0.0272,Month
16,Feb,Apr,2,Feb-Apr,BoW,0.6294,0.0079,0.6792,0.0091,30,0.8554,very strong (.8 1],0.0498,Month
16,Feb,Apr,2,Feb-Apr,SBERT,0.6023,0.0059,0.6328,0.0069,30,0.8601,very strong (.8 1],0.0305,Month
16,Feb,May,3,Feb-May,BoW,0.621,0.0071,0.6772,0.0075,30,0.7813,strong (.6 .8],0.0562,Month
16,Feb,May,3,Feb-May,SBERT,0.6081,0.0062,0.6407,0.0065,30,0.7635,strong (.6 .8],0.0325,Month
16,Feb,Jun,4,Feb-Jun,BoW,0.6419,0.0069,0.6891,0.0076,30,0.6582,strong (.6 .8],0.0473,Month
16,Feb,Jun,4,Feb-Jun,SBERT,0.6143,0.0058,0.6471,0.0068,30,0.8074,very strong (.8 1],0.0328,Month
16,Feb,Jul,5,Feb-Jul,BoW,0.6395,0.0082,0.6937,0.008,30,0.6716,strong (.6 .8],0.0542,Month
16,Feb,Jul,5,Feb-Jul,SBERT,0.614,0.0066,0.6472,0.0063,30,0.8199,very strong (.8 1],0.0332,Month
16,Feb,Aug,6,Feb-Aug,BoW,0.6405,0.0092,0.7026,0.009,30,0.909,very strong (.8 1],0.0622,Month
16,Feb,Aug,6,Feb-Aug,SBERT,0.626,0.0078,0.6583,0.0086,30,0.9029,very strong (.8 1],0.0324,Month
16,Feb,Sep,7,Feb-Sep,BoW,0.6574,0.0078,0.7062,0.0094,30,0.88,very strong (.8 1],0.0488,Month
16,Feb,Sep,7,Feb-Sep,SBERT,0.6347,0.0068,0.6658,0.0081,30,0.8681,very strong (.8 1],0.0311,Month
16,Mar,Apr,1,Mar-Apr,BoW,0.598,0.0078,0.6459,0.0078,30,0.8051,very strong (.8 1],0.0479,Month
16,Mar,Apr,1,Mar-Apr,SBERT,0.5865,0.0073,0.6117,0.0074,30,0.8351,very strong (.8 1],0.0252,Month
16,Mar,May,2,Mar-May,BoW,0.6069,0.0083,0.6621,0.0058,30,0.7235,strong (.6 .8],0.0551,Month
16,Mar,May,2,Mar-May,SBERT,0.5904,0.0063,0.6198,0.0058,30,0.7794,strong (.6 .8],0.0294,Month
16,Mar,Jun,3,Mar-Jun,BoW,0.636,0.0068,0.6861,0.0059,30,0.752,strong (.6 .8],0.05,Month
16,Mar,Jun,3,Mar-Jun,SBERT,0.6135,0.0065,0.642,0.006,30,0.7171,strong (.6 .8],0.0284,Month
16,Mar,Jul,4,Mar-Jul,BoW,0.6277,0.0079,0.6868,0.0056,30,0.8105,very strong (.8 1],0.0591,Month
16,Mar,Jul,4,Mar-Jul,SBERT,0.6126,0.007,0.6444,0.0065,30,0.8285,very strong (.8 1],0.0318,Month
16,Mar,Aug,5,Mar-Aug,BoW,0.6335,0.0107,0.6934,0.0103,30,0.9316,very strong (.8 1],0.0599,Month
16,Mar,Aug,5,Mar-Aug,SBERT,0.6195,0.0107,0.6528,0.0109,30,0.918,very strong (.8 1],0.0332,Month
16,Mar,Sep,6,Mar-Sep,BoW,0.6465,0.0101,0.7015,0.0101,30,0.9053,very strong (.8 1],0.0551,Month
16,Mar,Sep,6,Mar-Sep,SBERT,0.631,0.0086,0.6625,0.0078,30,0.927,very strong (.8 1],0.0315,Month
16,Apr,May,1,Apr-May,BoW,0.5873,0.0065,0.6391,0.0067,30,0.8658,very strong (.8 1],0.0518,Month
16,Apr,May,1,Apr-May,SBERT,0.5704,0.0058,0.5977,0.0065,30,0.8924,very strong (.8 1],0.0273,Month
16,Apr,Jun,2,Apr-Jun,BoW,0.627,0.0065,0.6755,0.0079,30,0.7865,strong (.6 .8],0.0485,Month
16,Apr,Jun,2,Apr-Jun,SBERT,0.6006,0.0068,0.634,0.0078,30,0.8363,very strong (.8 1],0.0334,Month
16,Apr,Jul,3,Apr-Jul,BoW,0.6182,0.0078,0.6783,0.008,30,0.829,very strong (.8 1],0.06,Month
16,Apr,Jul,3,Apr-Jul,SBERT,0.5962,0.0065,0.6316,0.0087,30,0.8493,very strong (.8 1],0.0354,Month
16,Apr,Aug,4,Apr-Aug,BoW,0.6426,0.0099,0.6935,0.0093,30,0.7988,strong (.6 .8],0.0509,Month
16,Apr,Aug,4,Apr-Aug,SBERT,0.6233,0.0077,0.6528,0.009,30,0.8657,very strong (.8 1],0.0295,Month
16,Apr,Sep,5,Apr-Sep,BoW,0.645,0.0097,0.6961,0.0101,30,0.8215,very strong (.8 1],0.0511,Month
16,Apr,Sep,5,Apr-Sep,SBERT,0.6151,0.0087,0.6487,0.0079,30,0.8898,very strong (.8 1],0.0336,Month
16,May,Jun,1,May-Jun,BoW,0.6127,0.0061,0.6549,0.0064,30,0.7934,strong (.6 .8],0.0421,Month
16,May,Jun,1,May-Jun,SBERT,0.5964,0.007,0.6226,0.007,30,0.7702,strong (.6 .8],0.0262,Month
